	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
35	109.494703,34.498038	前进路前进路华润万家购物中心一层	临渭区	渭南市	B0FFF48AW3	[]	屈臣氏	陕西省	4008301310	购物服务;超级市场;屈臣氏	060411	109.494703	34.498038	屈臣氏
36	114.003426,22.453542	新界天水围天瑞商场一楼L112号铺	元朗区	香港特别行政区	B0FFHSEWLS	[]	屈臣氏	香港特别行政区	00852-24096166	购物服务;超级市场;屈臣氏	060411	114.003426	22.453542	屈臣氏
37	114.273056,30.538823	鹦鹉洲地区世茂锦绣长江二期沿江商业地下室栋负一层178室和179室	汉阳区	武汉市	B0FFHLP03E	[]	屈臣氏	湖北省	4008301310	购物服务;超级市场;屈臣氏	060411	114.273056	30.538823	屈臣氏
38	124.884369,46.635426	昆仑大街昆仑唐人中心精致楼1层	让胡路区	大庆市	B0FFFWE5LT	[]	屈臣氏	黑龙江省	4008301310	购物服务;超级市场;屈臣氏	060411	124.884369	46.635426	屈臣氏
39	113.466258,23.167464	科丰路萝岗万达广场二楼	黄埔区	广州市	B0FFHM6DIE	[]	屈臣氏	广东省	[]	购物服务;超级市场;屈臣氏	060411	113.466258	23.167464	屈臣氏
40	119.979166,31.839934	通江中路594号	新北区	常州市	B0FFIKA0BU	[]	屈臣氏	江苏省	[]	购物服务;购物相关场所;购物相关场所	060000	119.979166	31.839934	屈臣氏
41	112.150819,32.041394	人民路与定中街交叉口西北50米	樊城区	襄阳市	B0FFIDV39H	[]	屈臣氏	湖北省	[]	购物服务;超级市场;屈臣氏	060411	112.150819	32.041394	屈臣氏
42	106.177482,38.479149	[]	金凤区	银川市	B0FFI1BBW7	[]	屈臣氏	宁夏回族自治区	[]	购物服务;超级市场;屈臣氏	060411	106.177482	38.479149	屈臣氏
43	113.983947,22.409796	新界屯门港铁兆康站SIH 1号舖(E出口)	屯门区	香港特别行政区	B0FFIGLMHD	[]	屈臣氏	香港特别行政区	00852-26088383	购物服务;超级市场;屈臣氏	060411	113.983947	22.409796	屈臣氏
44	114.267694,22.306678	唐德街1号将军澳广场1楼1-073-075铺	西贡区	香港特别行政区	B0FFHRNJGW	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.267694	22.306678	屈臣氏
45	112.502735,23.064732	祥福路	端州区	肇庆市	B0FFIIR15F	[]	屈臣氏	广东省	[]	购物服务;超级市场;屈臣氏	060411	112.502735	23.064732	屈臣氏
46	114.035822,32.971185	中华大道118号附近	驿城区	驻马店市	B0FFI0MK5K	[]	屈臣氏	河南省	[]	购物服务;超级市场;屈臣氏	060411	114.035822	32.971185	屈臣氏
47	118.162790,39.631785	西山道北150米	路北区	唐山市	B0FFGR848Q	[]	屈臣氏	河北省	[]	购物服务;超级市场;屈臣氏	060411	118.162790	39.631785	屈臣氏
48	120.045308,29.278230	万达广场3层	义乌市	金华市	B0FFHE53Z6	[]	屈臣氏	浙江省	0579-85793655	购物服务;超级市场;屈臣氏	060411	120.045308	29.278230	屈臣氏
49	111.755830,30.425520	民主大道58号	枝江市	宜昌市	B0FFI0V3QQ	[]	屈臣氏	湖北省	[]	购物服务;购物相关场所;购物相关场所	060000	111.755830	30.425520	屈臣氏
50	114.248701,22.427304	新界马鞍山乌溪沙路8号迎海荟2楼7号铺	沙田区	香港特别行政区	B0FFHM1DZQ	[]	屈臣氏	香港特别行政区	00852-26088383	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.248701	22.427304	屈臣氏
51	119.701341,29.801612	阆苑路328号附近	桐庐县	杭州市	B0FFHTQDVG	[]	屈臣氏	浙江省	[]	购物服务;服装鞋帽皮具店;服装鞋帽皮具店	061100	119.701341	29.801612	屈臣氏
52	114.209739,22.428209	科進路21號逸瓏灣II低層地下12、13及15號舖	沙田区	香港特别行政区	B0FFHSK5WH	[]	屈臣氏	香港特别行政区	00852-26088383;00852-24735199	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.209739	22.428209	屈臣氏
53	114.138045,22.364020	新界葵涌禾葵里2号葵兴商场9C号铺	葵青区	香港特别行政区	B0FFHLVMFZ	[]	屈臣氏	香港特别行政区	00852-26088383;00852-23924491	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.138045	22.364020	屈臣氏
54	114.218280,22.321184	九龙湾伟业街33号德福广场2期506-507铺(近港铁九龙湾站)	观塘区	香港特别行政区	B0FFG9COEC	[]	屈臣氏	香港特别行政区	00852-29972421	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.218280	22.321184	屈臣氏
55	114.145609,22.324888	昂船路1号附近	深水埗区	香港特别行政区	B0FFHF53GY	[]	屈臣氏	香港特别行政区	00852-26088383	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.145609	22.324888	屈臣氏
56	114.002409,22.430103	新界元朗洪水桥盈福街11号洪福楼地下A舖	元朗区	香港特别行政区	B0FFIGM6UT	[]	屈臣氏	香港特别行政区	00852-26088383	购物服务;个人用品/化妆品店;其它个人用品店	061400	114.002409	22.430103	屈臣氏
57	120.165882,30.244209	延安路98号西湖银泰城B1层	上城区	杭州市	B023B0BIO6	[]	屈臣氏(银泰城)	浙江省	0571-87002096;4008301310	购物服务;超级市场;屈臣氏	060411	120.165882	30.244209	屈臣氏
58	121.440090,31.193007	肇嘉浜路1111号美罗城2F层2-2	徐汇区	上海市	B00155K8A6	[]	屈臣氏(美罗城)	上海市	021-64267263;021-64267269	购物服务;超级市场;屈臣氏	060411	121.440090	31.193007	屈臣氏
59	104.007146,30.664793	青羊大道99号附1号优品道广场1层	青羊区	成都市	B001C80O2H	[]	屈臣氏(成都优品道店)	四川省	[]	购物服务;超级市场;屈臣氏	060411	104.007146	30.664793	屈臣氏
60	120.162607,30.268971	延安路595号浙江大酒店1层	下城区	杭州市	B023B14AG4	[]	屈臣氏(HZ浙江大酒店)	浙江省	0571-86718225	购物服务;超级市场;屈臣氏	060411	120.162607	30.268971	屈臣氏
61	109.506287,18.241496	解放二路51号宝盛广场1层	天涯区	三亚市	B03830MR9Y	[]	屈臣氏(宝盛广场店)	海南省	4008301310;0898-88614091	购物服务;超级市场;屈臣氏	060411	109.506287	18.241496	屈臣氏
62	113.923494,22.517598	创业路58号人人乐百货F1层	南山区	深圳市	B02F38SO38	[]	屈臣氏(崇尚百货店)	广东省	0755-86229026;4008301310	购物服务;超级市场;屈臣氏	060411	113.923494	22.517598	屈臣氏
63	102.708058,25.018212	海埂路199号臻万百货	西山区	昆明市	B03670W3VU	[]	屈臣氏(昆明永昌路臻万百货店)	云南省	0871-63637165;4008301310	购物服务;超级市场;屈臣氏	060411	102.708058	25.018212	屈臣氏
64	114.036116,22.630069	民治大道528号佐阾香颂购物中心F1层L1(22)	龙华区	深圳市	B02F38SYMT	[]	屈臣氏(民治香颂店)	广东省	0755-23596860;4008301310	购物服务;超级市场;屈臣氏	060411	114.036116	22.630069	屈臣氏
65	113.867826,22.566495	西乡镇海城路与宝源路交汇处时代城1层	宝安区	深圳市	B02F38STEN	[]	屈臣氏(西乡时代城店)	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	113.867826	22.566495	屈臣氏
66	114.030498,22.652431	建设路东华明珠城人人乐百货1层	龙华区	深圳市	B02F38P9NJ	[]	屈臣氏(人人乐百货店)	广东省	0755-23061123;4008301310	购物服务;超级市场;屈臣氏	060411	114.030498	22.652431	屈臣氏
67	116.416410,39.909099	东长安街1号东方广场东方新天地商场地铁层B1层BB86-2	东城区	北京市	B000A7ZSSR	[]	屈臣氏(东方新天地)	北京市	010-85186426;4008301310;010-85186428	购物服务;超级市场;屈臣氏	060411	116.416410	39.909099	屈臣氏
68	104.063047,30.601593	盛和一路99号凯丹广场B1层	武侯区	成都市	B001C8O4M7	[]	屈臣氏(凯德广场)	四川省	4008301310	购物服务;超级市场;屈臣氏	060411	104.063047	30.601593	屈臣氏
69	118.784900,32.042851	中山路18号德基广场1期B1层108	玄武区	南京市	B00190AB4I	[]	屈臣氏(德基广场1期)	江苏省	025-86691774;025-86661774	购物服务;超级市场;屈臣氏	060411	118.784900	32.042851	屈臣氏
70	120.125093,30.276365	文三路477号华星科技大厦	西湖区	杭州市	B023B0BF1L	[]	屈臣氏(西湖区华星店)	浙江省	0571-81060012;4008301310	购物服务;超级市场;屈臣氏	060411	120.125093	30.276365	屈臣氏
71	114.342871,30.588414	徐东大街18号销品茂2层	武昌区	武汉市	B001B0JOIB	[]	屈臣氏(销品茂)	湖北省	027-68898245	购物服务;超级市场;屈臣氏	060411	114.342871	30.588414	屈臣氏
72	114.139927,22.568371	太宁路8号伯仕达东郡喜荟城2层218号	罗湖区	深圳市	B02F37WON0	[]	屈臣氏(喜荟城)	广东省	0755-22358940;4008301310	购物服务;超级市场;屈臣氏	060411	114.139927	22.568371	屈臣氏
73	121.479328,31.235953	南京东路580号阳光商厦B1层	黄浦区	上海市	B00155HPNO	[]	屈臣氏(阳光店)	上海市	021-63220052;4008301310	购物服务;超级市场;屈臣氏	060411	121.479328	31.235953	屈臣氏
74	113.248489,23.114672	下九路东急新天地购物中心B1层	荔湾区	广州市	B00140HVF4	[]	屈臣氏(东急新天地店)	广东省	020-81248372	购物服务;超级市场;屈臣氏	060411	113.248489	23.114672	屈臣氏
75	104.112226,30.667816	二环路东二段29号SM广场1层132-136商铺	成华区	成都市	B001C7UA5R	[]	屈臣氏(SM购物广场)	四川省	028-84315533;4008301310	购物服务;超级市场;屈臣氏	060411	104.112226	30.667816	屈臣氏
76	114.163254,22.282688	港景街1号国际金融中心商场二期3楼3019号舖	中西区	香港特别行政区	B073C0QVDT	[]	屈臣氏(香港站店)	香港特别行政区	00852-21475915;00852-21479897	购物服务;超级市场;屈臣氏	060411	114.163254	22.282688	屈臣氏
77	123.360287,41.781915	兴华南街58-20号铁西万达广场F1层141-142	铁西区	沈阳市	B00180K1YD	[]	屈臣氏(铁西万达广场)	辽宁省	4008301310	购物服务;超级市场;屈臣氏	060411	123.360287	41.781915	屈臣氏
78	106.713028,26.577255	中山东路2号智诚百货大楼B1层	南明区	贵阳市	B035302QCA	[]	屈臣氏(智诚百货店)	贵州省	[]	购物服务;超级市场;屈臣氏	060411	106.713028	26.577255	屈臣氏
79	113.283526,23.125712	较场西路26号地王广场B2层2371	越秀区	广州市	B00140UEQU	[]	屈臣氏(地王广场店)	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	113.283526	23.125712	屈臣氏
80	103.996574,30.648976	晋阳路269号千盛百货1层	武侯区	成都市	B001C7WEFD	[]	屈臣氏(天街)	四川省	028-87436683;4008301310;028-68250523	购物服务;超级市场;屈臣氏	060411	103.996574	30.648976	屈臣氏
81	116.481471,39.909096	建国路77号华贸购物中心B1层B128、B129	朝阳区	北京市	B000A84ZR2	[]	屈臣氏(华贸购物中心)	北京市	010-65981820;4008301310	购物服务;超级市场;屈臣氏	060411	116.481471	39.909096	屈臣氏
82	117.026690,36.665591	泉城路101号贵和商厦1楼东北角(院前街)	历下区	济南市	B021307HM4	[]	屈臣氏(贵和商厦店)	山东省	0531-86080875;4008301310	购物服务;超级市场;屈臣氏	060411	117.026690	36.665591	屈臣氏
83	109.504498,18.249689	解放路步行街	天涯区	三亚市	B03830119K	[]	屈臣氏(天鸿商厦店)	海南省	0898-88282108;4008301310	购物服务;超级市场;屈臣氏	060411	109.504498	18.249689	屈臣氏
84	112.995910,28.154812	韶山中路421号凯德广场1层	雨花区	长沙市	B02DB07JTQ	[]	屈臣氏(雨花亭广场店)	湖南省	[]	购物服务;超级市场;屈臣氏	060411	112.995910	28.154812	屈臣氏
85	116.439794,39.922113	朝阳门外大街三丰北里2号楼悠唐生活广场B1层	朝阳区	北京市	B000A8UWGK	[]	屈臣氏(悠唐生活广场)	北京市	4008301310	购物服务;超级市场;屈臣氏	060411	116.439794	39.922113	屈臣氏
86	121.387178,31.106362	都市路5001号仲盛世界商城B1层B1F40	闵行区	上海市	B00155LKUK	[]	屈臣氏(仲盛世界商城)	上海市	4008301310;021-64887628	购物服务;超级市场;屈臣氏	060411	121.387178	31.106362	屈臣氏
87	114.052880,22.564925	梅华路98-1号新世界百货F1层	福田区	深圳市	B02F37WCFA	[]	屈臣氏(新世界店)	广东省	0755-83049401;4008301310	购物服务;超级市场;屈臣氏	060411	114.052880	22.564925	屈臣氏
88	116.374673,39.911131	西单北大街130号华威大厦3层	西城区	北京市	B000A8UWHH	[]	屈臣氏(北京华威店)	北京市	[]	购物服务;超级市场;屈臣氏	060411	116.374673	39.911131	屈臣氏
89	113.120889,23.037083	锦华路85号东方明珠广场1层	禅城区	佛山市	B02F506F0Q	[]	屈臣氏(东方广场店)	广东省	0757-82321120	购物服务;超级市场;屈臣氏	060411	113.120889	23.037083	屈臣氏
90	118.740802,32.057489	草场门大街99号新城市广场B1层	鼓楼区	南京市	B00190BBIZ	[]	屈臣氏(新城市广场店)	江苏省	025-86269582	购物服务;超级市场;屈臣氏	060411	118.740802	32.057489	屈臣氏
91	113.326502,23.132466	天河路228号正佳广场F2层	天河区	广州市	B00140TYG6	[]	屈臣氏(正佳广场)	广东省	020-38331172;4008301310;020-87583894	购物服务;超级市场;屈臣氏	060411	113.326502	23.132466	屈臣氏
92	116.315232,39.978595	中关村大街19号新中关购物中心B1层B112	海淀区	北京市	B000A7ZSSO	[]	屈臣氏(北京新中关店)	北京市	4008301310	购物服务;超级市场;屈臣氏	060411	116.315232	39.978595	屈臣氏
93	108.962430,34.243306	雁塔北路8号万达广场1层1-48	碑林区	西安市	B001D09HM3	[]	屈臣氏(万达广场)	陕西省	029-68653222;029-85560340	购物服务;超级市场;屈臣氏	060411	108.962430	34.243306	屈臣氏
94	112.953183,28.194931	枫林一路39号通程商业广场F1层	岳麓区	长沙市	B02DB07KDT	[]	屈臣氏(通程商业广场)	湖南省	0731-88856465	购物服务;超级市场;屈臣氏	060411	112.953183	28.194931	屈臣氏
95	114.118688,22.544058	永新街东门町广场1层	罗湖区	深圳市	B02F37WMKI	[]	屈臣氏(东门町广场店)	广东省	0755-25844070;4008301310	购物服务;超级市场;屈臣氏	060411	114.118688	22.544058	屈臣氏
96	108.890279,34.235624	唐延路3号卜蜂莲花唐延路店1层	雁塔区	西安市	B001D0VXUQ	[]	屈臣氏(盛大时代广场)	陕西省	029-88313013	购物服务;超级市场;屈臣氏	060411	108.890279	34.235624	屈臣氏
97	108.324066,22.813968	民族共和路口民族大道41号国贸购物中心F1层	青秀区	南宁市	B030306WR9	[]	屈臣氏(共和路店)	广西壮族自治区	4008301310	购物服务;超级市场;屈臣氏	060411	108.324066	22.813968	屈臣氏
98	117.188379,39.140766	东马路138号(水阁大街口)新世界百货1层	南开区	天津市	B001607VC8	[]	屈臣氏(新世界百货)	天津市	022-87340922;4008301310	购物服务;超级市场;屈臣氏	060411	117.188379	39.140766	屈臣氏
99	112.994409,28.170037	韶山北路512号金色家族广场B1层	雨花区	长沙市	B02DB07QF6	[]	屈臣氏(金色家族店)	湖南省	4008301310	购物服务;超级市场;屈臣氏	060411	112.994409	28.170037	屈臣氏
100	108.938473,34.259752	西大街101-111号时代盛典购物广场1层	莲湖区	西安市	B001D06TRB	[]	屈臣氏(时代盛典店)	陕西省	4008301310	购物服务;超级市场;屈臣氏	060411	108.938473	34.259752	屈臣氏
101	118.789560,32.016164	长乐路132号沃尔玛1层	秦淮区	南京市	B001908GTE	[]	屈臣氏(秦淮好又多店)	江苏省	4008301310;025-52233603	购物服务;超级市场;屈臣氏	060411	118.789560	32.016164	屈臣氏
102	116.973496,36.660971	经二路571号华联商厦F1层	槐荫区	济南市	B021307LM3	[]	屈臣氏(济南华联商厦店)	山东省	4008301310	购物服务;超级市场;屈臣氏	060411	116.973496	36.660971	屈臣氏
103	117.672775,24.510183	[]	龙文区	漳州市	B025402O4M	[]	屈臣氏(嘉信茂丹霞店)	福建省	4008301310	购物服务;超级市场;屈臣氏	060411	117.672775	24.510183	屈臣氏
104	120.397062,36.063585	香港中路72号永旺东部购物中心2层	市南区	青岛市	B021409QGN	[]	屈臣氏(青岛佳士客店)	山东省	0532-85782113;4008301310	购物服务;超级市场;屈臣氏	060411	120.397062	36.063585	屈臣氏
105	121.473611,31.235162	南京西路2-68号新世界城B1层	黄浦区	上海市	B00155H8L9	[]	屈臣氏(上海新世界店)	上海市	4008301310;021-63595712	购物服务;超级市场;屈臣氏	060411	121.473611	31.235162	屈臣氏
106	113.833222,23.291444	荔城镇挂绿路6号挂绿广场1层首B53、首B54、首C30号	增城区	广州市	B00140W43M	[]	屈臣氏(挂绿广场)	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	113.833222	23.291444	屈臣氏
107	121.499863,31.237040	陆家嘴西路168号正大广场B1层B1F12	浦东新区	上海市	B00155H8LH	[]	屈臣氏(正大广场)	上海市	021-50471498	购物服务;超级市场;屈臣氏	060411	121.499863	31.237040	屈臣氏
108	113.289745,23.092611	新港西路68号富景花园1层	海珠区	广州市	B00140MHKF	[]	屈臣氏(富景花园店)	广东省	020-89250675;4008301310	购物服务;超级市场;屈臣氏	060411	113.289745	23.092611	屈臣氏
109	121.369445,31.209382	仙霞西路88号百联西郊购物中心F1层1323	长宁区	上海市	B00155DAX0	[]	屈臣氏(西郊百联店)	上海市	021-62390883;4008301310	购物服务;超级市场;屈臣氏	060411	121.369445	31.209382	屈臣氏
110	118.795092,32.039950	太平南路1号大行宫新世纪广场1层(近中山东路)	秦淮区	南京市	B00190B71L	[]	屈臣氏(新世纪广场店)	江苏省	025-84671150;8009001380	购物服务;超级市场;屈臣氏	060411	118.795092	32.039950	屈臣氏
111	106.512049,29.500113	西郊三村2号凯德广场·九龙坡F1层	九龙坡区	重庆市	B0017874Q0	[]	屈臣氏(凯德广场·九龙坡)	重庆市	023-89062602;4008301310;023-68789770	购物服务;超级市场;屈臣氏	060411	106.512049	29.500113	屈臣氏
112	113.763633,23.039161	莞城街道东纵大道4号彩怡百货1层(罗沙路)	东莞市	东莞市	B0301047P8	[]	屈臣氏(地王广场店)	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	113.763633	23.039161	屈臣氏
113	114.269537,30.610770	唐家墩路5号万达广场万达百货1层1-51、1-53	江汉区	武汉市	B001B16PBR	[]	屈臣氏(万达广场)	湖北省	027-85690387;4008301310	购物服务;超级市场;屈臣氏	060411	114.269537	30.610770	屈臣氏
114	113.680900,34.762238	紫荆山路1号紫荆山百货大楼1层	金水区	郑州市	B017307MRO	[]	屈臣氏(郑州紫荆山店)	河南省	4008301310	购物服务;超级市场;屈臣氏	060411	113.680900	34.762238	屈臣氏
115	117.164636,39.114148	鞍山西道259号时代数码广场1层	南开区	天津市	B00160EF3Q	[]	屈臣氏(鞍山西道店)	天津市	8009001380	购物服务;超级市场;屈臣氏	060411	117.164636	39.114148	屈臣氏
116	113.270344,23.122602	北京路一街238号名盛广场天河城百货北京路店1层1B32	越秀区	广州市	B00140U2QH	[]	屈臣氏(广州名盛广场店)	广东省	020-83389350;020-83310049	购物服务;超级市场;屈臣氏	060411	113.270344	23.122602	屈臣氏
117	119.291843,26.061470	工业路193号宝龙城市广场B1层258B	台江区	福州市	B024F05UAW	[]	屈臣氏(宝龙城市广场)	福建省	0591-83821111;4008301310	购物服务;超级市场;屈臣氏	060411	119.291843	26.061470	屈臣氏
118	104.060249,30.633056	一环路南三段22号世纪商业广场D座	武侯区	成都市	B001C7YBW1	[]	屈臣氏(成都玉林店)	四川省	4008301310;028-68250570	购物服务;超级市场;屈臣氏	060411	104.060249	30.633056	屈臣氏
119	121.524585,31.227962	东方路796号96广场F1层112	浦东新区	上海市	B00155KOIJ	[]	屈臣氏(96广场)	上海市	021-61000826;4008301310	购物服务;超级市场;屈臣氏	060411	121.524585	31.227962	屈臣氏
